"","1"
"histologic_diagnosis",0
"tumor_sample_type",0
"history_neoadjuvant_treatment",0
"anatomic_neoplasm_subdivision",-0.00168507472196498
"pharmaceutical_therapy_type",-0.282449082700188
"prospective_collection",0.439658633721253
"retrospective_collection",-4.22195784329339e-14
"gender",0
"history_other_malignancy",0
"initial_pathologic_dx_year",0.454809504096175
"age_at_diagnosis",0.0147613983401698
"ajcc_tumor_pathologic_pt",0.044119146019472
"ajcc_nodes_pathologic_pn",0.025944972416587
"ajcc_metastasis_pathologic_pm",0
"er_status_by_ihc",-0.501547930327961
"pr_status_by_ihc",-0.0227580211397142
"days_to_initial_pathologic_diagnosis",0
"histological_type",0
"icd_o_3_histology",0
"icd_o_3_site",-0.191207926221179
"tissue_source_site",-0.0217399216963041
"tumor_tissue_site",0
"X14.3.3_epsilon",0
"X4E.BP1",0
"X4E.BP1_pS65",0
"X4E.BP1_pT70",0
"X4E.BP1_pT37",0
"X53BP1",0
"A.Raf_pS299",-0.142307045503467
"ACC_pS79",0.103075365873469
"ACC1",0
"Akt",0
"Akt_pS473",0
"Akt_pT308",0
"alpha.Catenin",0
"AMPK_alpha",0
"AMPK_pT172",0.0100568910896705
"ANLN",0
"Annexin_I",-0.130545272458752
"AR",0
"ATM",0
"B.Raf",0.0313644409796652
"Bak",0
"Bax",0
"Bcl.2",0
"Bcl.xL",0
"Beclin",0
"beta.Catenin",0
"Bid",0
"Bim",0.0372795073420943
"c.Kit",0
"c.Met_pY1235",0
"c.Myc",0
"C.Raf",0
"C.Raf_pS338",0
"Caspase.7_cleavedD198",0
"Caveolin.1",0
"CD31",0
"CD49b",0
"CDK1",0
"Chk1",0
"Chk1_pS345",0
"Chk2",0
"Chk2_pT68",0
"Claudin.7",0.0599699101102711
"Collagen_VI",-0.085097936653314
"Cyclin_B1",0
"Cyclin_D1",0
"Cyclin_E1",0
"DJ.1",0
"Dvl3",0
"E.Cadherin",0
"eEF2",0
"eEF2K",0
"EGFR_pY1068",0.00517290904906872
"EGFR_pY1173",0
"eIF4E",0
"ER.alpha",0
"ER.alpha_pS118",0
"ERK2",0
"Fibronectin",0
"FOXO3a",0
"GAB2",0
"GATA3",0
"GSK3.alpha.beta",0
"GSK3.alpha.beta_pS21_S9",0.0756518007992273
"HER2",0
"HER2_pY1248",0
"HER3",0
"HER3_pY1289",0
"HSP70",0
"IGFBP2",0.0796030120972764
"INPP4B",0
"IRS1",0.156868732680368
"JNK2",0
"K.Ras",0
"Ku80",0
"LBK1",0
"Lck",0
"MAPK_pT202_Y204",0.18465710961528
"MEK1",0
"MEK1_pS217_S221",0
"MIG.6",0
"Mre11",0
"mTOR",0
"N.Cadherin",0
"NF.kB.p65_pS536",0
"NF2",0
"Notch1",0
"P.Cadherin",0
"p27",0
"p27_pT157",0
"p27_pT198",0
"p38_MAPK",0
"p38_pT180_Y182",-0.0307797312607723
"p53",0
"p70S6K",0
"p70S6K_pT389",0
"p90RSK_pT359_S363",0
"Paxillin",0
"PCNA",0
"PDK1_pS241",0
"Pea.15",0
"PI3K.p110.alpha",0
"PKC.alpha",0
"PKC.alpha_pS657",0
"PKC.delta_pS664",0
"PR",-0.0112003025338467
"PRAS40_pT246",0
"PRDX1",-0.0677983995128939
"PTEN",0
"Rad50",0
"Rb_pS807_S811",0.0396979532723807
"RBM3",-0.0393235528527795
"S6",0
"S6_pS235_S236",-0.0272537758172698
"S6_pS240_S244",0
"Shc_pY317",0
"Smad1",0
"Smad3",0
"Smad4",0
"Src",0
"Src_pY416",0
"Src_pY527",0
"STAT3_pY705",0
"STAT5.alpha",0
"Stathmin",0
"Syk",-0.0565207510081377
"Transglutaminase",0
"Tuberin",0
"VEGFR2",0
"XBP1",0
"XRCC1",0
"YAP_pS127",0
"YB.1",0
"YB.1_pS102",0
"PDCD4",-0.0292949935430699
"SCD1",0
"JNK_pT183_pT185",-0.0146433087910981
"PAI.1",-0.0191504491749019
"ARID1A",0
"mTOR_pS2448",0
"ASNS",0
"EGFR",0
"drug_tx_indicator",0
"malignancy_type",0
"radiation_tx_indicator",0
